Gap	Count	Annotation							
13.25	41800	NA	FALSE						
13.275	29421	NA	FALSE						
13.3	30694	NA	FALSE						
13.325	76557	NA	TRUE						
13.35	92458	NA	TRUE						
13.375	32354	NA	FALSE						
13.4	27709	NA	FALSE						
13.425	31934	NA	FALSE						
13.45	47958	NA	FALSE						
13.475	84913	NA	TRUE						
13.5	246493	NA	TRUE						
13.525	119544	NA	TRUE						
13.55	58173	NA	TRUE						
13.575	36952	NA	FALSE						
13.6	32723	NA	FALSE						
13.625	27516	NA	FALSE						
13.65	51207	NA	FALSE						
13.675	116083	NA	TRUE						
13.7	41098	NA	FALSE						
13.725	24481	NA	FALSE						
13.75	42759	NA	FALSE						
13.775	25948	NA	FALSE						
13.8	21920	NA	FALSE						
13.825	26154	NA	FALSE						
13.85	33472	NA	FALSE						
13.875	24985	NA	FALSE						
13.9	35638	NA	FALSE						
13.925	54796	NA	FALSE						
13.95	112582	NA	TRUE						
13.975	277476	NA	TRUE						
14	459614	NA	TRUE						
14.025	476555	NA	TRUE						
14.05	194200	NA	TRUE						
14.075	82080	NA	TRUE						
14.1	54856	NA	FALSE						
14.125	25035	NA	FALSE						
14.15	24496	NA	FALSE						
14.175	30215	NA	FALSE						
14.2	25914	NA	FALSE						
14.225	19476	NA	FALSE						
14.25	41464	NA	FALSE						
14.275	31166	NA	FALSE						
14.3	29503	NA	FALSE						
14.325	78929	NA	TRUE						
14.35	112180	NA	TRUE						
14.375	34342	NA	FALSE						
14.4	27115	NA	FALSE						
14.425	31842	NA	FALSE						
14.45	45188	NA	FALSE						
14.475	83454	NA	TRUE						
14.5	236447	NA	TRUE						
14.525	135104	NA	TRUE						
14.55	60123	NA	TRUE						
14.575	36450	NA	FALSE						
14.6	32245	NA	FALSE						
14.625	26814	NA	FALSE						
14.65	52956	NA	FALSE						
14.675	138469	NA	TRUE						
14.7	41750	NA	FALSE						
14.725	23910	NA	FALSE						
14.75	42838	NA	FALSE						
14.775	26199	NA	FALSE						
14.8	21352	NA	FALSE						
14.825	25004	NA	FALSE						
14.85	29862	NA	FALSE						
14.875	25463	NA	FALSE						
14.9	33045	NA	FALSE						
14.925	53399	NA	FALSE						
14.95	108592	NA	TRUE						
14.975	253024	NA	TRUE						
15	484303	NA	TRUE						
15.025	317480	NA	TRUE						
15.05	145490	NA	TRUE						
15.075	84923	NA	TRUE						
15.1	45776	NA	FALSE						
15.125	26310	NA	FALSE						
15.15	25567	NA	FALSE						
15.175	30433	NA	FALSE						
15.2	26222	NA	FALSE						
15.225	18210	NA	FALSE						
15.25	43056	NA	FALSE						
15.275	30144	NA	FALSE						
15.3	30691	NA	FALSE						
15.325	81818	NA	TRUE						
15.35	100267	NA	TRUE						
15.375	36539	NA	FALSE						
15.4	25360	NA	FALSE						
15.425	31427	NA	FALSE						
15.45	45789	NA	FALSE						
15.475	85549	NA	TRUE						
15.5	187227	NA	TRUE						
15.525	131356	NA	TRUE						
15.55	63511	NA	TRUE						
15.575	38435	NA	FALSE						
15.6	30698	NA	FALSE						
15.625	27995	NA	FALSE						
15.65	54134	NA	FALSE						
15.675	110003	NA	TRUE						
15.7	44130	NA	FALSE						
15.725	24292	NA	FALSE						
15.75	47074	NA	FALSE						
15.775	26837	NA	FALSE						
15.8	19976	NA	FALSE						
15.825	27221	NA	FALSE						
15.85	28467	NA	FALSE						
15.875	26389	NA	FALSE						
15.9	31724	NA	FALSE						
15.925	61372	NA	TRUE						
15.95	183195	NA	TRUE						
15.975	196720	NA	TRUE						
16	475252	NA	TRUE						
16.025	439262	NA	TRUE						
16.05	140634	NA	TRUE						
16.075	109241	NA	TRUE						
16.1	48302	NA	FALSE						
16.125	29051	NA	FALSE						
16.15	28474	NA	FALSE						
16.175	31721	NA	FALSE						
16.2	24759	NA	FALSE						
16.225	18957	NA	FALSE						
16.25	44547	NA	FALSE						
16.275	32563	NA	FALSE						
16.3	32117	NA	FALSE						
16.325	69651	NA	TRUE						
16.35	81266	NA	TRUE						
16.375	34898	NA	FALSE						
16.4	26695	NA	FALSE						
16.425	32043	NA	FALSE						
16.45	46406	NA	FALSE						
16.475	85701	NA	TRUE						
16.5	171839	NA	TRUE						
16.525	136774	NA	TRUE						
16.55	64653	NA	TRUE						
16.575	42118	NA	FALSE						
16.6	32898	NA	FALSE						
16.625	30572	NA	FALSE						
16.65	49665	NA	FALSE						
16.675	89530	NA	TRUE						
16.7	45428	NA	FALSE						
16.725	26021	NA	FALSE						
16.75	42251	NA	FALSE						
16.775	30086	NA	FALSE						
16.8	21921	NA	FALSE						
16.825	29875	NA	FALSE						
16.85	36342	NA	FALSE						
16.875	29677	NA	FALSE						
16.9	35286	NA	FALSE						
16.925	68424	NA	TRUE						
16.95	134322	NA	TRUE						
16.975	176124	NA	TRUE						
17	425640	NA	TRUE						
17.025	531322	NA	TRUE						
17.05	149561	NA	TRUE						
17.075	98921	NA	TRUE						
17.1	56991	NA	FALSE						
17.125	33450	NA	FALSE						
17.15	31053	NA	FALSE						
17.175	33024	NA	FALSE						
17.2	26794	NA	FALSE						
17.225	21092	NA	FALSE						
17.25	40804	NA	FALSE						
17.275	35080	NA	FALSE						
17.3	34049	NA	FALSE						
17.325	62315	NA	TRUE						
17.35	86508	NA	TRUE						
17.375	35035	NA	FALSE						
17.4	28660	NA	FALSE						
17.425	34605	NA	FALSE						
17.45	47859	NA	FALSE						
17.475	90000	NA	TRUE						
17.5	166129	NA	TRUE						
17.525	163841	NA	TRUE						
17.55	69157	NA	TRUE						
17.575	44669	NA	FALSE						
17.6	35681	NA	FALSE						
17.625	32415	NA	FALSE						
17.65	48503	NA	FALSE						
17.675	99941	NA	TRUE						
17.7	45263	NA	FALSE						
17.725	27636	NA	FALSE						
17.75	44784	NA	FALSE						
17.775	31982	NA	FALSE						
17.8	23264	NA	FALSE						
17.825	29172	NA	FALSE						
17.85	35043	NA	FALSE						
17.875	29527	NA	FALSE						
17.9	37411	NA	FALSE						
17.925	65882	NA	TRUE						
17.95	123161	NA	TRUE						
17.975	232782	NA	TRUE						
18	685180	NA	TRUE						
18.025	442624	NA	TRUE						
18.05	173600	NA	TRUE						
18.075	94134	NA	TRUE						
18.1	55225	NA	FALSE						
18.125	39458	NA	FALSE						
18.15	35054	NA	FALSE						
18.175	34072	NA	FALSE						
18.2	25825	NA	FALSE						
18.225	20936	NA	FALSE						
18.25	39624	NA	FALSE						
18.275	32351	NA	FALSE						
18.3	33136	NA	FALSE						
18.325	61988	NA	TRUE						
18.35	96923	NA	TRUE						
18.375	34387	NA	FALSE						
18.4	28742	NA	FALSE						
18.425	34537	NA	FALSE						
18.45	47588	NA	FALSE						
18.475	91311	NA	TRUE						
18.5	165038	NA	TRUE						
18.525	158508	NA	TRUE						
18.55	70089	NA	TRUE						
18.575	44259	NA	FALSE						
18.6	34215	NA	FALSE						
18.625	30116	NA	FALSE						
18.65	44923	NA	FALSE						
18.675	112499	NA	TRUE						
18.7	48041	NA	FALSE						
18.725	26418	NA	FALSE						
18.75	39550	NA	FALSE						
18.775	29913	NA	FALSE						
18.8	22306	NA	FALSE						
18.825	28489	NA	FALSE						
18.85	33563	NA	FALSE						
18.875	30150	NA	FALSE						
18.9	33646	NA	FALSE						
18.925	74233	NA	TRUE						
18.95	107502	NA	TRUE						
18.975	201363	NA	TRUE						
19	430564	NA	TRUE						
19.025	395233	NA	TRUE						
19.05	164646	NA	TRUE						
19.075	97643	NA	TRUE						
19.1	50224	NA	FALSE						
19.125	32185	NA	FALSE						
19.15	32966	NA	FALSE						
19.175	34240	NA	FALSE						
19.2	25791	NA	FALSE						
19.225	19157	NA	FALSE						
19.25	33814	NA	FALSE						
19.275	31561	NA	FALSE						
19.3	29110	NA	FALSE						
19.325	61737	NA	TRUE						
19.35	104934	NA	TRUE						
19.375	33818	NA	FALSE						
19.4	27301	NA	FALSE						
19.425	33098	NA	FALSE						
19.45	45599	NA	FALSE						
19.475	84458	NA	TRUE						
19.5	164755	"AA-NLoss: G,CS 2"	TRUE						
19.525	159153	NA	TRUE						
19.55	67321	NA	TRUE						
19.575	42701	NA	FALSE						
19.6	33001	NA	FALSE						
19.625	26786	NA	FALSE						
19.65	41359	NA	FALSE						
19.675	110467	NA	TRUE						
19.7	44681	NA	FALSE						
19.725	24516	NA	FALSE						
19.75	35894	NA	FALSE						
19.775	29667	NA	FALSE						
19.8	20292	NA	FALSE						
19.825	27132	NA	FALSE						
19.85	36109	NA	FALSE						
19.875	25153	NA	FALSE						
19.9	32515	NA	FALSE						
19.925	69252	NA	TRUE						
19.95	95798	NA	TRUE						
19.975	197176	NA	TRUE						
20	382384	"AA G,CS 2"	TRUE						
20.025	340106	NA	TRUE						
20.05	153515	NA	TRUE						
20.075	91560	NA	TRUE						
20.1	50804	NA	FALSE						
20.125	26931	NA	FALSE						
20.15	26748	NA	FALSE						
20.175	35080	NA	FALSE						
20.2	24226	NA	FALSE						
20.225	17968	NA	FALSE						
20.25	35251	NA	FALSE						
20.275	33052	NA	FALSE						
20.3	25787	NA	FALSE						
20.325	61422	NA	TRUE						
20.35	96160	NA	TRUE						
20.375	34822	NA	FALSE						
20.4	25088	NA	FALSE						
20.425	34298	NA	FALSE						
20.45	43361	NA	FALSE						
20.475	79046	NA	TRUE						
20.5	172831	NA	TRUE						
20.525	163464	NA	TRUE						
20.55	64514	NA	TRUE						
20.575	39718	NA	FALSE						
20.6	31292	NA	FALSE						
20.625	25959	NA	FALSE						
20.65	44150	NA	FALSE						
20.675	108167	NA	TRUE						
20.7	43000	NA	FALSE						
20.725	24165	NA	FALSE						
20.75	37269	NA	FALSE						
20.775	31158	NA	FALSE						
20.8	18463	NA	FALSE						
20.825	28417	NA	FALSE						
20.85	33289	NA	FALSE						
20.875	23923	NA	FALSE						
20.9	29513	NA	FALSE						
20.925	68009	NA	TRUE						
20.95	97757	NA	TRUE						
20.975	165784	NA	TRUE						
21	359474	NA	TRUE						
21.025	349552	NA	TRUE						
21.05	158310	NA	TRUE						
21.075	80341	NA	TRUE						
21.1	54819	NA	FALSE						
21.125	29453	NA	FALSE						
21.15	25698	NA	FALSE						
21.175	31340	NA	FALSE						
21.2	24819	NA	FALSE						
21.225	18024	NA	FALSE						
21.25	33755	NA	FALSE						
21.275	33519	NA	FALSE						
21.3	26710	NA	FALSE						
21.325	79083	NA	TRUE						
21.35	87152	NA	TRUE						
21.375	35404	NA	FALSE						
21.4	24975	NA	FALSE						
21.425	31092	NA	FALSE						
21.45	42637	NA	FALSE						
21.475	75743	NA	TRUE						
21.5	191400	NA	TRUE						
21.525	180428	NA	TRUE						
21.55	64117	NA	TRUE						
21.575	38943	NA	FALSE						
21.6	31370	NA	FALSE						
21.625	24384	NA	FALSE						
21.65	43063	NA	FALSE						
21.675	107446	NA	TRUE						
