Gap	Count	Annotation
13.9	35638	NA
13.925	54796	NA
13.95	112582	NA
13.975	277476	NA
14	459614	NA
14.025	476555	NA
14.05	194200	NA
14.075	82080	NA
14.1	54856	NA
14.125	25035	NA
14.15	24496	NA
14.175	30215	NA
14.2	25914	NA
14.225	19476	NA
14.25	41464	AA G,CS 4
14.275	31166	NA
14.3	29503	NA
14.325	78929	NA
14.35	112180	NA
14.375	34342	NA
14.4	27115	NA
14.425	31842	NA
14.45	45188	NA
14.475	83454	NA
14.5	236447	NA
14.525	135104	NA
14.55	60123	NA
14.575	36450	NA
14.6	32245	NA
14.625	26814	NA
14.65	52956	NA
14.675	138469	NA
14.7	41750	NA
14.725	23910	NA
14.75	42838	NA
14.775	26199	NA
14.8	21352	NA
14.825	25004	NA
14.85	29862	NA
14.875	25463	NA
14.9	33045	NA
14.925	53399	NA
14.95	108592	NA
14.975	253024	NA
15	484303	NA
15.025	317480	NA
15.05	145490	NA
15.075	84923	NA
15.1	45776	NA
15.125	26310	NA
15.15	25567	NA
15.175	30433	NA
15.2	26222	NA
15.225	18210	NA
15.25	43056	NA
15.275	30144	NA
15.3	30691	NA
15.325	81818	NA
15.35	100267	NA
15.375	36539	NA
15.4	25360	NA
15.425	31427	NA
15.45	45789	NA
15.475	85549	NA
15.5	187227	NA
15.525	131356	NA
15.55	63511	NA
15.575	38435	NA
15.6	30698	NA
15.625	27995	NA
15.65	54134	NA
15.675	110003	NA
15.7	44130	NA
15.725	24292	NA
15.75	47074	NA
15.775	26837	NA
15.8	19976	NA
15.825	27221	NA
15.85	28467	NA
15.875	26389	NA
15.9	31724	NA
15.925	61372	NA
15.95	183195	NA
15.975	196720	NA
16	475252	NA
16.025	439262	NA
16.05	140634	NA
16.075	109241	NA
16.1	48302	NA
16.125	29051	NA
16.15	28474	NA
16.175	31721	NA
16.2	24759	NA
16.225	18957	NA
16.25	44547	NA
16.275	32563	NA
16.3	32117	NA
16.325	69651	NA
16.35	81266	NA
16.375	34898	NA
16.4	26695	NA
16.425	32043	NA
16.45	46406	NA
16.475	85701	NA
16.5	171839	NA
16.525	136774	NA
16.55	64653	NA
16.575	42118	NA
16.6	32898	NA
16.625	30572	NA
16.65	49665	NA
16.675	89530	NA
16.7	45428	NA
16.725	26021	NA
16.75	42251	NA
16.775	30086	NA
16.8	21921	NA
16.825	29875	NA
16.85	36342	NA
16.875	29677	NA
16.9	35286	NA
16.925	68424	NA
16.95	134322	NA
16.975	176124	NA
17	425640	NA
17.025	531322	NA
17.05	149561	NA
17.075	98921	NA
17.1	56991	NA
17.125	33450	NA
17.15	31053	NA
17.175	33024	NA
17.2	26794	NA
17.225	21092	NA
17.25	40804	AA-NLoss: S,CS 4
17.275	35080	NA
17.3	34049	NA
17.325	62315	NA
17.35	86508	NA
17.375	35035	NA
17.4	28660	NA
17.425	34605	NA
17.45	47859	NA
17.475	90000	NA
17.5	166129	AA S,CS 4
17.525	163841	NA
17.55	69157	NA
17.575	44669	NA
17.6	35681	NA
17.625	32415	NA
17.65	48503	NA
17.675	99941	NA
17.7	45263	NA
17.725	27636	NA
17.75	44784	AA A,CS 4
17.775	31982	NA
17.8	23264	NA
17.825	29172	NA
17.85	35043	NA
17.875	29527	NA
17.9	37411	NA
17.925	65882	NA
17.95	123161	NA
17.975	232782	NA
