Gap	Count
234.25	32508
242.25	31620
246.25	31646
254.25	32296
250.25	31882
260.5	34209
268.5	38237
276.5	37351
284.5	38398
292.5	40767
300.5	44185
316.5	51140
308.5	49322
332.5	51597
324.5	50139
340.5	49844
348.5	48795
364.5	46981
356.5	47231
234.275	36713
238.275	35950
230.275	37014
226.275	39298
250.275	33404
254.275	32632
246.275	34640
242.275	35530
206.275	37701
202.275	39838
194.275	43208
198.275	38456
218.275	38455
222.275	39973
214.275	38923
210.275	38130
174.275	38859
170.275	35109
166.275	33366
162.275	33817
186.275	36823
190.275	37300
182.275	36177
178.275	34250
142.275	29438
138.275	27681
134.275	28623
130.275	26623
158.275	32048
154.275	31077
146.275	30406
150.275	32160
348.55	28749
340.55	28811
324.55	30462
332.55	28860
356.55	29039
364.55	30034
284.55	34911
276.55	36965
260.55	42958
268.55	39406
308.55	30032
316.55	30753
300.55	31787
292.55	33445
308.575	40529
316.575	39240
292.575	48491
300.575	45227
284.575	53184
276.575	58907
268.575	64004
260.575	70317
364.575	28375
356.575	29148
348.575	30267
340.575	31954
324.575	36662
332.575	33282
107.15	63168
105.15	60677
111.15	68613
109.15	68761
97.15	56883
99.15	59942
101.15	59165
103.15	59832
123.15	75625
121.15	74125
127.15	75684
125.15	74301
115.15	67951
113.15	66967
119.15	69097
117.15	65752
75.15	47049
73.15	47725
77.15	48299
79.15	48712
67.15	42603
65.15	41244
69.15	43230
71.15	46514
89.15	54224
91.15	55032
95.15	57831
93.15	55358
81.15	48746
83.15	50620
87.15	53315
85.15	51657
53.575	90513
52.575	89012
55.575	92332
54.575	92249
48.575	81472
49.575	81129
50.575	83686
51.575	88692
60.575	102691
61.575	99367
62.575	99029
63.575	101421
56.575	84833
57.575	92603
59.575	95864
58.575	91691
37.575	79650
36.575	78415
39.575	84058
38.575	81536
32.575	79296
33.575	76439
35.575	76385
34.575	78493
44.575	81949
45.575	84827
47.575	82043
46.575	83656
41.575	82033
40.575	83354
43.575	81467
42.575	81322
292.6	84972
300.6	75565
308.6	69687
316.6	74591
268.6	108282
260.6	122250
284.6	103154
276.6	101514
364.6	37593
356.6	42219
324.6	88863
332.6	52360
340.6	49337
348.6	44713
214.3	28001
210.3	27360
222.3	32613
218.3	29209
194.3	27226
198.3	24420
202.3	29301
206.3	25581
246.3	32712
242.3	34971
250.3	32072
254.3	33202
230.3	31702
226.3	30374
238.3	31832
234.3	30003
146.3	28189
150.3	27444
158.3	27783
154.3	27432
130.3	32950
134.3	31072
142.3	28922
138.3	28893
178.3	25080
182.3	24689
186.3	26518
190.3	24691
