Gap	Count
83.2	8031975
83.3	8351289
83.4	10422642
83.5	19402767
83.6	14167995
83.7	10835019
83.8	7818002
83.9	8827371
84	34506496
84.1	25840501
84.2	7885905
84.3	8113020
84.4	10503008
84.5	18524691
84.6	14487793
84.7	11081090
84.8	7890007
84.9	8946144
85	33831899
85.1	28128601
85.2	8150120
85.3	8429473
85.4	10835096
85.5	18359090
85.6	14487705
85.7	11410639
85.8	7746622
85.9	8827572
86	35282629
86.1	25379244
86.2	7947187
86.3	7992984
86.4	10752488
86.5	17952605
86.6	13709595
86.7	10954599
86.8	7420155
86.9	8657930
87	36236228
87.1	24610412
87.2	7969739
87.3	7705054
87.4	10522452
87.5	18227673
87.6	13790755
87.7	10822506
87.8	7353599
87.9	8658429
88	34234424
88.1	25679594
88.2	7879655
88.3	7807481
88.4	10619745
88.5	18576651
88.6	14159305
88.7	11028824
88.8	7430816
88.9	8824154
89	33465716
89.1	25284152
89.2	7940321
89.3	8194481
89.4	10505973
89.5	18898658
89.6	14699114
89.7	10944257
89.8	8026388
89.9	8648551
90	33145258
90.1	25574787
90.2	7847215
90.3	8133844
90.4	10425770
90.5	18397631
90.6	14757285
90.7	10805502
90.8	7537438
90.9	8455731
91	31263457
91.1	25551956
91.2	7763907
91.3	7847372
91.4	10604270
91.5	18385735
91.6	15005754
91.7	10852575
91.8	7416406
91.9	8491530
92	32135191
92.1	25557535
92.2	7823209
92.3	7593196
92.4	10423387
92.5	18157253
92.6	14750578
92.7	10819031
92.8	7242813
92.9	8461762
93	30923840
93.1	24863526
93.2	7786285
93.3	7594849
93.4	10722784
93.5	18028827
93.6	14589671
93.7	11504094
93.8	7129950
93.9	8827856
94	29913371
94.1	26993710
94.2	7887468
94.3	7954460
94.4	11660405
94.5	16912007
94.6	14835382
94.7	11795998
94.8	7258468
94.9	8440701
95	28574486
95.1	27682985
95.2	7731870
95.3	7668877
95.4	10529151
95.5	16041865
95.6	14597178
95.7	10770945
95.8	7651175
95.9	8427040
96	28564764
96.1	28286819
96.2	7705704
96.3	7977238
96.4	10225090
96.5	15963269
96.6	15045192
96.7	10648500
96.8	7486109
96.9	8415378
97	28856354
97.1	29925809
97.2	7727762
97.3	7576273
97.4	10258561
97.5	15804635
97.6	15269136
97.7	10557442
97.8	7175654
97.9	8478833
98	29065872
98.1	29928727
98.2	7617557
98.3	7444136
98.4	10226759
98.5	16092917
98.6	15537416
98.7	10797680
98.8	7086797
98.9	8458241
99	30581972
99.1	33360006
99.2	7747455
99.3	7668657
99.4	10560753
99.5	16774845
99.6	16622362
99.7	11112659
99.8	7294710
99.9	8689663
100	31300423
100.1	33122715
100.2	7934505
100.3	7734815
100.4	10977945
100.5	17856107
100.6	17286126
100.7	11299961
100.8	7444375
100.9	8433496
101	34000898
101.1	30125672
101.2	7915305
101.3	7595215
101.4	10551019
101.5	18393976
101.6	16200525
101.7	11111133
101.8	7380408
101.9	8459188
102	32447553
102.1	28868831
102.2	7739674
102.3	7640848
102.4	10827464
102.5	17250255
102.6	15672619
102.7	11370836
102.8	7419263
102.9	8166682
103	29465772
103.1	28193383
103.2	7655484
103.3	7465859
103.4	10566656
103.5	15740814
103.6	15305153
103.7	10861961
103.8	7138584
103.9	8126831
104	27484160
104.1	28281795
104.2	7704465
104.3	7333447
104.4	10341990
104.5	15018999
104.6	15734407
104.7	10770150
104.8	7178526
104.9	8132602
105	26453220
105.1	27673767
105.2	7684374
105.3	7442490
105.4	10274899
105.5	14860588
105.6	16451712
105.7	10786512
105.8	7461115
105.9	8465638
106	26542673
106.1	28976883
106.2	7802240
106.3	7764561
106.4	10812491
106.5	14757183
106.6	17634365
106.7	11467186
106.8	7600384
106.9	8353167
107	26397397
107.1	29401219
107.2	7871820
107.3	7658868
107.4	12072609
107.5	14934292
107.6	17211433
107.7	13074920
107.8	7366262
107.9	8466587
108	27479835
108.1	28908024
108.2	7890973
108.3	7270132
108.4	12860560
108.5	14814537
108.6	16454179
108.7	12804359
108.8	7155125
108.9	8067387
109	26328780
109.1	29687954
109.2	7695600
109.3	7335291
109.4	11464970
109.5	14881732
109.6	16500011
109.7	11375288
109.8	7300962
109.9	8106217
110	26898481
110.1	28987784
110.2	7642350
110.3	7512941
110.4	10356944
110.5	14889479
110.6	16746825
110.7	10804411
110.8	7446252
110.9	8225681
111	26866202
111.1	31288241
111.2	7809613
111.3	7828594
111.4	9927413
111.5	14223790
111.6	16777955
111.7	10405945
111.8	7247901
111.9	8178794
112	24942858
112.1	33841996
112.2	7717564
112.3	7342995
112.4	9928143
112.5	13849082
112.6	17189263
112.7	10773809
112.8	7238388
112.9	8392618
113	26163350
113.1	40508015
113.2	7879299
113.3	7405912
113.4	10811341
113.5	13733130
113.6	18100097
113.7	11265607
113.8	7273051
113.9	8306757
114	28165631
114.1	35106850
114.2	7794401
114.3	7258013
114.4	10652658
114.5	13627791
114.6	17475008
114.7	10945669
114.8	7172467
114.9	8194597
115	27421269
115.1	32170534
115.2	7828399
115.3	7258823
115.4	10350973
115.5	13487372
115.6	16911647
115.7	10647943
115.8	7277726
115.9	8270167
116	24749757
116.1	31344903
116.2	7617420
116.3	7584129
116.4	9927476
116.5	13693201
116.6	16506796
116.7	10392680
116.8	7418328
116.9	8109589
117	23733976
117.1	31017562
117.2	7721084
117.3	7706084
117.4	10004031
117.5	13299613
117.6	17007640
117.7	10281452
117.8	7822907
117.9	7949253
118	23908902
118.1	30375683
118.2	7699644
118.3	7439690
118.4	9920137
118.5	13194331
118.6	16546447
118.7	10449499
118.8	7246381
118.9	7938572
119	23218130
119.1	30401716
119.2	7677887
119.3	7280452
119.4	10249438
119.5	13127858
119.6	17654800
119.7	10658104
119.8	7275782
119.9	8066332
120	22538408
120.1	31847360
120.2	7860042
