Gap	Count
85.4	3198718
85.5	3592351
85.6	3349210
85.7	4377432
85.8	4479659
85.9	5603640
86	46074662
86.1	19585673
86.2	3662929
86.3	3233770
86.4	3545505
86.5	3502306
86.6	3621230
86.7	3801965
86.8	3632170
86.9	5354185
87	31202676
87.1	32249928
87.2	3914147
87.3	3553107
87.4	3669745
87.5	3921121
87.6	3932509
87.7	3796431
87.8	4841731
87.9	6072605
88	27325509
88.1	24976577
88.2	3978322
88.3	3671412
88.4	3751863
88.5	3764703
88.6	4011827
88.7	4142919
88.8	4086677
88.9	7246067
89	23377330
89.1	32644811
89.2	4103662
89.3	3970876
89.4	3973243
89.5	4333220
89.6	4185956
89.7	4377597
89.8	4898176
89.9	7709135
90	41061800
90.1	22954273
90.2	4313372
90.3	3935113
90.4	4389291
90.5	5159516
90.6	5205068
90.7	4687397
90.8	5067327
90.9	5936919
91	25630992
91.1	19379350
91.2	4464348
91.3	4041535
91.4	4629958
91.5	4630227
91.6	4368921
91.7	4133105
91.8	4251297
91.9	5893116
92	39691289
92.1	24709709
92.2	3964830
92.3	3544012
92.4	3876005
92.5	4300413
92.6	4373279
92.7	4343177
92.8	4267148
92.9	5985631
93	36532336
93.1	19707661
93.2	4041920
93.3	3566518
93.4	3712603
93.5	3821845
93.6	4163600
93.7	3887495
93.8	3997551
93.9	5096411
94	26200627
94.1	20494048
94.2	3774499
94.3	3556807
94.4	7042800
94.5	3754861
94.6	3933327
94.7	5214325
94.8	3431485
94.9	4854717
95	25315857
95.1	18944458
95.2	3451780
95.3	3034417
95.4	3307502
95.5	3215580
95.6	3781694
95.7	3195460
95.8	3151848
95.9	5665615
96	31402269
96.1	13300480
96.2	3018150
96.3	2792344
96.4	3356985
96.5	3172449
96.6	3288014
96.7	3497969
96.8	3079722
96.9	4190880
97	23103825
97.1	26518663
97.2	3360656
97.3	3157691
97.4	3586827
97.5	3301503
97.6	3364726
97.7	3177824
97.8	3256399
97.9	4696413
98	28399332
98.1	30651210
98.2	3333793
98.3	2812328
98.4	3036038
98.5	5792629
98.6	3428796
98.7	3410706
98.8	4245978
98.9	4793938
99	33435310
99.1	25729211
99.2	3798118
99.3	3420181
99.4	3596943
99.5	3519154
99.6	3617681
99.7	3563589
99.8	3626431
99.9	5963208
100	29896778
100.1	33027162
100.2	3812044
100.3	3262484
100.4	7053156
100.5	3859562
100.6	3999605
100.7	4336669
100.8	3558686
100.9	5506759
101	29266939
101.1	34986462
101.2	3952495
101.3	3514136
101.4	3658016
101.5	4025522
101.6	3779007
